label,frame1,frame2,frame3
,economic,economic,economic
,capacity_and_resources,capacity_and_resources,capacity_and_resources
,morality,morality,morality
,fairness_and_equality,fairness_and_equality,fairness_and_equality
,legality_constitutionality_and_jurisprudence,legality_constitutionality_and_jurisprudence,legality_constitutionality_and_jurisprudence
,policy_prescription_and_evaluation,policy_prescription_and_evaluation,policy_prescription_and_evaluation
,crime_and_punishment,crime_and_punishment,crime_and_punishment
,security_and_defense,security_and_defense,security_and_defense
,health_and_safety,health_and_safety,health_and_safety
,quality_of_life,quality_of_life,quality_of_life
,cultural_identity,cultural_identity,cultural_identity
,public_opinion,public_opinion,public_opinion
,political,political,political
,external_regulation_and_reputation,external_regulation_and_reputation,external_regulation_and_reputation
Differences between humanism and feminism and their respective goals.,,,
Compulsory choice between opt-in and opt-out organ donation.,,,
"Opt-out system increases donation percentage, incentivizing people to donate and save lives.",,,
Arguing over the morality of government-enforced consequences for immoral actions.,,,
Reducing hiv transmission through responsible behavior and preventative measures.,,,
Painful medical procedure requiring anesthesia and painkillers.,,,
Aggressive mistreatment of people for any reason.,,,
Legal implications of having multiple spouses.,,,
Complexities of self-identification and societal labels.,,,
Powerful interests using regulations to benefit themselves while disadvantaging the general population.,,,
Potential benefits of reducing the workweek.,,,
Pros and cons of the 40-hour work week.,,,
Implications of supreme court decisions and the interpretation of the constitution.,,,
Scope of congress' power to regulate interstate commerce.,,,
Definition of arms in relation to weapons of war.,,,
Racial discrimination in college admissions creating unequal opportunities for students.,,,
Valuing human life over animal life for the benefit of society.,,,
Two people stuck on tracks with unknown order and consequences.,,,
Unequal consequences for unequal situations.,,,
Equal rights for all regardless of sexual preference.,,,
Celebrating self-expression and acceptance of all members of the lgbt community.,,,
"Marines are the first to respond to global crises with quick, forceful action.",,,
"People join the military for a variety of reasons, including financial benefits, self-sacrifice, and a sense of purpose.",,,
Over the environmental and animal welfare costs of animal agriculture.,,,
And against the morality of planned parenthood.,,,
Gender-neutral interpretation of vawa's criminal provisions and grants.,,,
Socializing without drinking at parties.,,,
"A dramatic shift in art since 1900, questioning the traditional ideas of beauty and aesthetics.",,,
Various interpretations of heaven.,,,
Changing nature of identity over time.,,,
Limits of human intelligence and scalability.,,,
Collective action necessary for social progress and change.,,,
Complexities of privilege and its implications.,,,
Lying to children is harmful to the parent-child relationship and morally wrong.,,,
A provocative exploration of the complexities of female sexuality.,,,
Rules of a subreddit and the ability to post there.,,,
"Purpose of the subreddit /r/ladybonersgw, which requires pictures of men with at least part of their face exposed.",,,
Conflicting opinions on us involvement in foreign affairs.,,,
History of palestine and israel.,,,
Complexities of consent in sexual encounters.,,,
Inherent limits of evidence lead to unpunished rapists and falsely accused.,,,
Consequences of unregulated capitalism and the potential of a libertarian society.,,,
Collaborative effort to reduce work hours and build luxuries.,,,
Us military initiative to protect citizens' rights in space and cyberspace.,,,
Risk-based insurance premiums determined by complex modeling of probability and cost factors.,,,
Complexities of anarchy.,,,
Complexities of child support.,,,
Society providing resources to ensure the well-being of children.,,,
Risking injury while making informed decisions.,,,
"Fear of violence from both genders, with men facing more physical harm and women facing more emotional harm.",,,
Gender roles in parenting and abortion.,,,
Importance of extracurriculars and academics for college admissions.,,,
Unreasonably early start time for school.,,,
Implications of owning and purchasing items on quality of life.,,,
Differences between right-wing and left-wing politics.,,,
Political spectrum and its limitations.,,,
Necessity of minimum wage laws and their effects on the labor market.,,,
Rapid shift in acceptance of homosexuality in the u.s.,,,
Probability of life in a vast and ancient universe.,,,
Misunderstood customer service policies leading to frustration.,,,
Appropriate times to yell at customer service workers.,,,
Wealthy should pay more taxes to benefit the middle and lower classes.,,,
Complexities of language and identity.,,,
Achieving the highest level of power and prestige in the world.,,,
Complexities of human nature and its effects on communication.,,,
Decreasing gun supply and raising prices affects black market availability and demand.,,,
Guns acquired through legal and illegal channels for criminal use.,,,
Enforcing laws to reduce illegal immigration while reforming legal immigration to allow more people into the country.,,,
Potential of biofuels as an alternative to fossil fuels.,,,
Protection of infants and mentally disabled through social policy.,,,
Desire for protection in upscale areas due to lack of police and potential for crime.,,,
Merits of leaving versus staying in a situation.,,,
Pros and cons of public healthcare and social programs.,,,
Radically different papal approach to communication and representation of the catholic faith.,,,
Complexities of marriage within the catholic church.,,,
Limits of personal freedom in a world of competing interests.,,,
Implications of a fertilized egg's potential to become a human being.,,,
Morality of killing in self-defense.,,,
Building a wall to keep out immigrants is a morally complex issue with practical implications.,,,
Trump's inflammatory rhetoric inciting hysteria among supporters.,,,
Comprehensive immigration reform needed to balance incentives and reduce illegal entry.,,,
Complexities of african and african american identity.,,,
Jewish persecution and displacement throughout history.,,,
Importance of credentials and knowledge in a career field.,,,
Conflict between two sides with no clear good or bad.,,,
Promoting the interests of minority groups through advocacy and social change.,,,
Advocating for equal rights and opportunities for all genders.,,,
Valve's attempt to move game consoles to a distribution model similar to android and ios with steamos.,,,
"Migration away from pc's to mobile devices and hybrids, leading to increased sophistication of pc users.",,,
Supporting local farmers to create a food surplus and prevent money going to poor farmers abroad.,,,
Men are more likely to commit violent crimes than women.,,,
Protective physical self-defense in a fight.,,,
A story of personal growth and resilience.,,,
Racism and white supremacy.,,,
Power struggle between branches of government.,,,
"Person has been forced to accept an artificial construct, losing their free will and emotions in the process.",,,
Complexities of gender identity and expression.,,,
Navigating gender-specific restroom etiquette in public spaces.,,,
Sample size is far more important than the ratio of sample size to population.,,,
Disparities in scholarship opportunities for minority students.,,,
"Protests are a common form of expression, but often lack tangible results.",,,
"A comparison of the french and american political systems, with a focus on protesting and accountability.",,,
Democracy is hard work requiring active participation to ensure citizens have control of their government.,,,
Conflicting values and ideals in a globalized world.,,,
Legality and morality of abortion.,,,
"Unborn and born babies are distinct, but both have rights.",,,
Importance of male birth control options.,,,
Complexities of anti-gay laws in the us.,,,
Risk-taking and consequences of decisions.,,,
Moral implications of following orders in a third world context.,,,
"Monsanto has issued hundreds of lawsuits since the mid-90s for contract breaches related to use of patented seeds, but not for accidental cross-contamination.",,,
Struggling to make a living despite hard work and dedication.,,,
Differences between adults and children in terms of understanding and perception.,,,
Childhood sweet tooth experience drastically changes with age.,,,
Police officers legally authorized to arrest and search people based on reasonable suspicion or probable cause.,,,
Biological and cultural influences of human attraction.,,,
Innate evolutionary psychology influencing human behavior.,,,
Value of experience and fresh perspectives.,,,
Implications of taxation and how it affects opinions on government spending.,,,
Voting preferences of various groups determine the outcome of an election.,,,
"X-men and their place in the marvel universe, exploring the possibilities of crossovers and the potential of separate universes.",,,
Contradiction between fear of mutants and acceptance of other superheroes.,,,
Prejudice and discrimination against minorities is wrong and illogical.,,,
"Differences between superheroes and their abilities, and how they are perceived by the public.",,,
Power of imagination and fantasy through childhood play.,,,
Morality and legality of abortion.,,,
Believing in god is less absurd than denying scientific evidence of evolution.,,,
Creating a unique recipe for a delicious burger.,,,
Threatening people with murder through false bomb reports.,,,
Careless actions leading to unintended consequences.,,,
Questioning the ethical justification of eating meat.,,,
Ethical implications of meat consumption and its impact on global food insecurity.,,,
Attraction to intelligence as a primary factor in sexual attraction.,,,
Art and entertainment provide mental relief and enrichment to human life.,,,
"Differing levels of distrust and hatred towards different groups, based on their actions or lack of control.",,,
Pros and cons of plea bargaining.,,,
"A broken justice system that needs to be fixed, but is the best we have.",,,
Subjective interpretations of human psychology and lack of rigor in sociology compared to hard sciences.,,,
Concept of patriarchy and its implications.,,,
Complexities of police shootings and race.,,,
Complete lack of interest in a discussion.,,,
Gender-based inequality in film industry recognition.,,,
"Accepting one's own physical appearance, regardless of societal standards.",,,
Questioning the appropriateness of attacking someone without proof of wrongdoing.,,,
Cooking with quality wine to enhance the flavor of the dish.,,,
Cheap vs expensive wine debate with subjective opinions on taste.,,,
Young males facing systemic discrimination and unfair assumptions in modern society.,,,
High-risk business costs leading to higher premiums and extra fees.,,,
Goals of insurance companies and their focus on shareholder value.,,,
Complexities of the american civil war and its impact on modern southerners.,,,
