label,frame1,frame2,frame3
,economic,economic,economic
,capacity_and_resources,capacity_and_resources,capacity_and_resources
,morality,morality,morality
,fairness_and_equality,fairness_and_equality,fairness_and_equality
,legality_constitutionality_and_jurisprudence,legality_constitutionality_and_jurisprudence,legality_constitutionality_and_jurisprudence
,policy_prescription_and_evaluation,policy_prescription_and_evaluation,policy_prescription_and_evaluation
,crime_and_punishment,crime_and_punishment,crime_and_punishment
,security_and_defense,security_and_defense,security_and_defense
,health_and_safety,health_and_safety,health_and_safety
,quality_of_life,quality_of_life,quality_of_life
,cultural_identity,cultural_identity,cultural_identity
,public_opinion,public_opinion,public_opinion
,political,political,political
,external_regulation_and_reputation,external_regulation_and_reputation,external_regulation_and_reputation
Differences between humanism and feminism and their respective goals.,fairness_and_equality,cultural_identity,
Compulsory choice between opt-in and opt-out organ donation.,legality_constitutionality_and_jurisprudence,,
"Opt-out system increases donation percentage, incentivizing people to donate and save lives.",policy_prescription_and_evaluation,quality_of_life,
Arguing over the morality of government-enforced consequences for immoral actions.,morality,,
Reducing hiv transmission through responsible behavior and preventative measures.,health_and_safety,,
Painful medical procedure requiring anesthesia and painkillers.,quality_of_life,health_and_safety,
Aggressive mistreatment of people for any reason.,morality,,
Legal implications of having multiple spouses.,legality_constitutionality_and_jurisprudence,,
Complexities of self-identification and societal labels.,quality_of_life,cultural_identity,
Powerful interests using regulations to benefit themselves while disadvantaging the general population.,legality_constitutionality_and_jurisprudence,fairness_and_equality,
Potential benefits of reducing the workweek.,quality_of_life,,
Pros and cons of the 40-hour work week.,public_opinion,,
Implications of supreme court decisions and the interpretation of the constitution.,legality_constitutionality_and_jurisprudence,,
Scope of congress' power to regulate interstate commerce.,fairness_and_equality,legality_constitutionality_and_jurisprudence,
Definition of arms in relation to weapons of war.,policy_prescription_and_evaluation,,
Racial discrimination in college admissions creating unequal opportunities for students.,fairness_and_equality,,
Valuing human life over animal life for the benefit of society.,morality,,
Two people stuck on tracks with unknown order and consequences.,quality_of_life,,
Unequal consequences for unequal situations.,fairness_and_equality,,
Equal rights for all regardless of sexual preference.,fairness_and_equality,,
Celebrating self-expression and acceptance of all members of the lgbt community.,cultural_identity,fairness_and_equality,
"Marines are the first to respond to global crises with quick, forceful action.",security_and_defense,,
"People join the military for a variety of reasons, including financial benefits, self-sacrifice, and a sense of purpose.",quality_of_life,morality,
Over the environmental and animal welfare costs of animal agriculture.,morality,,
And against the morality of planned parenthood.,morality,,
Gender-neutral interpretation of vawa's criminal provisions and grants.,legality_constitutionality_and_jurisprudence,,
Socializing without drinking at parties.,quality_of_life,,
"A dramatic shift in art since 1900, questioning the traditional ideas of beauty and aesthetics.",quality_of_life,cultural_identity,
Various interpretations of heaven.,morality,,
Changing nature of identity over time.,,,
Limits of human intelligence and scalability.,quality_of_life,,
Collective action necessary for social progress and change.,cultural_identity,,
Complexities of privilege and its implications.,fairness_and_equality,,
Lying to children is harmful to the parent-child relationship and morally wrong.,morality,quality_of_life,
A provocative exploration of the complexities of female sexuality.,quality_of_life,,
Rules of a subreddit and the ability to post there.,,,
"Purpose of the subreddit /r/ladybonersgw, which requires pictures of men with at least part of their face exposed.",morality,,
Conflicting opinions on us involvement in foreign affairs.,external_regulation_and_reputation,,
History of palestine and israel.,cultural_identity,,
Complexities of consent in sexual encounters.,quality_of_life,morality,
Inherent limits of evidence lead to unpunished rapists and falsely accused.,crime_and_punishment,,
Consequences of unregulated capitalism and the potential of a libertarian society.,economic,political,
Collaborative effort to reduce work hours and build luxuries.,quality_of_life,capacity_and_resources,
Us military initiative to protect citizens' rights in space and cyberspace.,security_and_defense,legality_constitutionality_and_jurisprudence,
Risk-based insurance premiums determined by complex modeling of probability and cost factors.,economic,,
Complexities of anarchy.,political,,
Complexities of child support.,economic,,
Society providing resources to ensure the well-being of children.,capacity_and_resources,,
Risking injury while making informed decisions.,quality_of_life,,
"Fear of violence from both genders, with men facing more physical harm and women facing more emotional harm.",morality,fairness_and_equality,
Gender roles in parenting and abortion.,fairness_and_equality,cultural_identity,
Importance of extracurriculars and academics for college admissions.,quality_of_life,,
Unreasonably early start time for school.,quality_of_life,,
Implications of owning and purchasing items on quality of life.,quality_of_life,economic,
Differences between right-wing and left-wing politics.,political,,
Political spectrum and its limitations.,political,,
Necessity of minimum wage laws and their effects on the labor market.,economic,fairness_and_equality,
Rapid shift in acceptance of homosexuality in the u.s.,cultural_identity,public_opinion,
Probability of life in a vast and ancient universe.,morality,,
Misunderstood customer service policies leading to frustration.,quality_of_life,,
Appropriate times to yell at customer service workers.,quality_of_life,,
Wealthy should pay more taxes to benefit the middle and lower classes.,economic,fairness_and_equality,
Complexities of language and identity.,cultural_identity,,
Achieving the highest level of power and prestige in the world.,quality_of_life,,
Complexities of human nature and its effects on communication.,morality,quality_of_life,
Decreasing gun supply and raising prices affects black market availability and demand.,economic,crime_and_punishment,
Guns acquired through legal and illegal channels for criminal use.,legality_constitutionality_and_jurisprudence,crime_and_punishment,
Enforcing laws to reduce illegal immigration while reforming legal immigration to allow more people into the country.,policy_prescription_and_evaluation,,
Potential of biofuels as an alternative to fossil fuels.,capacity_and_resources,,
Protection of infants and mentally disabled through social policy.,security_and_defense,quality_of_life,
Desire for protection in upscale areas due to lack of police and potential for crime.,security_and_defense,crime_and_punishment,
Merits of leaving versus staying in a situation.,morality,,
Pros and cons of public healthcare and social programs.,health_and_safety,,
Radically different papal approach to communication and representation of the catholic faith.,morality,,
Complexities of marriage within the catholic church.,morality,,
Limits of personal freedom in a world of competing interests.,quality_of_life,morality,
Implications of a fertilized egg's potential to become a human being.,morality,,
Morality of killing in self-defense.,morality,,
Building a wall to keep out immigrants is a morally complex issue with practical implications.,morality,public_opinion,
Trump's inflammatory rhetoric inciting hysteria among supporters.,morality,political,
Comprehensive immigration reform needed to balance incentives and reduce illegal entry.,policy_prescription_and_evaluation,legality_constitutionality_and_jurisprudence,
Complexities of african and african american identity.,cultural_identity,,
Jewish persecution and displacement throughout history.,cultural_identity,morality,
Importance of credentials and knowledge in a career field.,quality_of_life,,
Conflict between two sides with no clear good or bad.,morality,,
Promoting the interests of minority groups through advocacy and social change.,morality,cultural_identity,
Advocating for equal rights and opportunities for all genders.,fairness_and_equality,,
Valve's attempt to move game consoles to a distribution model similar to android and ios with steamos.,economic,,
"Migration away from pc's to mobile devices and hybrids, leading to increased sophistication of pc users.",economic,,
Supporting local farmers to create a food surplus and prevent money going to poor farmers abroad.,capacity_and_resources,economic,
Men are more likely to commit violent crimes than women.,crime_and_punishment,,
Protective physical self-defense in a fight.,security_and_defense,,
A story of personal growth and resilience.,quality_of_life,,
Racism and white supremacy.,cultural_identity,political,
Power struggle between branches of government.,political,,
"Person has been forced to accept an artificial construct, losing their free will and emotions in the process.",morality,quality_of_life,
Complexities of gender identity and expression.,cultural_identity,,
Navigating gender-specific restroom etiquette in public spaces.,cultural_identity,,
Sample size is far more important than the ratio of sample size to population.,,,
Disparities in scholarship opportunities for minority students.,fairness_and_equality,cultural_identity,
"Protests are a common form of expression, but often lack tangible results.",quality_of_life,,
"A comparison of the french and american political systems, with a focus on protesting and accountability.",political,legality_constitutionality_and_jurisprudence,
Democracy is hard work requiring active participation to ensure citizens have control of their government.,political,legality_constitutionality_and_jurisprudence,
Conflicting values and ideals in a globalized world.,morality,quality_of_life,
Legality and morality of abortion.,legality_constitutionality_and_jurisprudence,morality,
"Unborn and born babies are distinct, but both have rights.",legality_constitutionality_and_jurisprudence,morality,
Importance of male birth control options.,fairness_and_equality,,
Complexities of anti-gay laws in the us.,legality_constitutionality_and_jurisprudence,,
Risk-taking and consequences of decisions.,quality_of_life,morality,
Moral implications of following orders in a third world context.,morality,,
"Monsanto has issued hundreds of lawsuits since the mid-90s for contract breaches related to use of patented seeds, but not for accidental cross-contamination.",legality_constitutionality_and_jurisprudence,,
Struggling to make a living despite hard work and dedication.,quality_of_life,,
Differences between adults and children in terms of understanding and perception.,quality_of_life,,
Childhood sweet tooth experience drastically changes with age.,quality_of_life,,
Police officers legally authorized to arrest and search people based on reasonable suspicion or probable cause.,legality_constitutionality_and_jurisprudence,security_and_defense,
Biological and cultural influences of human attraction.,morality,cultural_identity,
Innate evolutionary psychology influencing human behavior.,quality_of_life,,
Value of experience and fresh perspectives.,quality_of_life,,
Implications of taxation and how it affects opinions on government spending.,economic,public_opinion,
Voting preferences of various groups determine the outcome of an election.,political,,
"X-men and their place in the marvel universe, exploring the possibilities of crossovers and the potential of separate universes.",,,
Contradiction between fear of mutants and acceptance of other superheroes.,morality,,
Prejudice and discrimination against minorities is wrong and illogical.,fairness_and_equality,morality,
"Differences between superheroes and their abilities, and how they are perceived by the public.",public_opinion,,
Power of imagination and fantasy through childhood play.,quality_of_life,,
Morality and legality of abortion.,morality,legality_constitutionality_and_jurisprudence,
Believing in god is less absurd than denying scientific evidence of evolution.,morality,,
Creating a unique recipe for a delicious burger.,quality_of_life,,
Threatening people with murder through false bomb reports.,security_and_defense,,
Careless actions leading to unintended consequences.,quality_of_life,health_and_safety,
Questioning the ethical justification of eating meat.,morality,,
Ethical implications of meat consumption and its impact on global food insecurity.,morality,,
Attraction to intelligence as a primary factor in sexual attraction.,quality_of_life,,
Art and entertainment provide mental relief and enrichment to human life.,quality_of_life,,
"Differing levels of distrust and hatred towards different groups, based on their actions or lack of control.",fairness_and_equality,public_opinion,
Pros and cons of plea bargaining.,legality_constitutionality_and_jurisprudence,,
"A broken justice system that needs to be fixed, but is the best we have.",legality_constitutionality_and_jurisprudence,,
Subjective interpretations of human psychology and lack of rigor in sociology compared to hard sciences.,morality,,
Concept of patriarchy and its implications.,cultural_identity,morality,
Complexities of police shootings and race.,crime_and_punishment,cultural_identity,
Complete lack of interest in a discussion.,,,
Gender-based inequality in film industry recognition.,fairness_and_equality,,
"Accepting one's own physical appearance, regardless of societal standards.",quality_of_life,,
Questioning the appropriateness of attacking someone without proof of wrongdoing.,morality,security_and_defense,
Cooking with quality wine to enhance the flavor of the dish.,quality_of_life,,
Cheap vs expensive wine debate with subjective opinions on taste.,quality_of_life,,
Young males facing systemic discrimination and unfair assumptions in modern society.,fairness_and_equality,legality_constitutionality_and_jurisprudence,
High-risk business costs leading to higher premiums and extra fees.,economic,,
Goals of insurance companies and their focus on shareholder value.,economic,,
Complexities of the american civil war and its impact on modern southerners.,security_and_defense,morality,
